email,first_name,last_name,title,company_name,company_domain,company_size,industry,linkedin_url,priority_score,trigger_signal,trigger_date,notes
[PLACEHOLDER],Seshu,Madhavapeddy,CEO & Founder,Frore Systems,froresystems.com,50-100,Consumer Electronics,linkedin.com/in/seshumadhavapeddy,3,Series C $80M,2024-05,Active device cooling tech - exactly the kind of hardware innovation Rabbit excels at
[PLACEHOLDER],Nikhil,Tibrewal,CEO & Co-Founder,Framework,frame.work,50-100,Consumer Electronics,linkedin.com/in/nikhiltibrewal,3,Series A-1 $17M,2024-04,Repairable laptop hardware - modular design needs manufacturing expertise
[PLACEHOLDER],Hagan,Kappler,Founder & CEO,Daisy,getdaisy.com,25-50,Smart Home,linkedin.com/in/hagankappler,3,Series C $15M,2024,Smart home tech installation - hardware integration services
[PLACEHOLDER],David,Rabie,CEO & Co-Founder,Tovala,tovala.com,50-100,Kitchen Appliances,linkedin.com/in/davidrabie,2,Total $70M+,2023-24,Smart oven hardware - YC alum established player
[PLACEHOLDER],Derek,Martin,CEO,Deako,deako.com,25-50,Smart Home,linkedin.com/in/derekmartin,2,Series A $6M+,2024,Smart lighting switches - YC W16 modular design
[PLACEHOLDER],Mohit,Kumar,CEO & Founder,Ultrahuman,ultrahuman.com,50-100,Wearables,linkedin.com/in/mohitkumarin,3,Series B $35M,2024,Smart ring wearables - hardware + health tech
[PLACEHOLDER],Philippe,Sawaya,CEO & Co-Founder,Bhout,bhout.com,10-25,Fitness Equipment,linkedin.com/in/philippesawaya,3,Seed $11M,2024-11,AI-enabled boxing bag - recent funding high intent
[PLACEHOLDER],Mayank,Yadav,CEO & Founder,Ladder,joinladder.com,25-50,Fitness,linkedin.com/in/mayankyadav,3,Series A $12M,2024-12,Workout hardware/tech - very recent funding
[PLACEHOLDER],Carl,Pei,CEO & Co-Founder,Nothing,nothing.tech,100-200,Consumer Electronics,linkedin.com/in/carlpei,2,Series C $200M,2024,Smartphones earbuds watches - may be at upper size limit
[PLACEHOLDER],Will,Ahmed,CEO & Founder,WHOOP,whoop.com,100-200,Wearables,linkedin.com/in/willahmed,2,Series F $200M,2023,Fitness wearables - established but ICP fit
[PLACEHOLDER],Yaroslav,Azhnyuk,CEO & Co-Founder,Petcube,petcube.com,25-50,Consumer Electronics,linkedin.com/in/yazhnyuk,2,YC + Series B,2020,Pet tech hardware - YC alum established
[PLACEHOLDER],Hjalte,Wieth,CEO & Co-Founder,SOUNDBOKS,soundboks.com,50-100,Consumer Electronics,linkedin.com/in/hjaltewieth,2,Series B,2022,Battery-powered speakers - YC alum hardware
[PLACEHOLDER],Urska,Srsen,CEO & Co-Founder,Bellabeat,bellabeat.com,50-100,Wearables,linkedin.com/in/urskasrsen,2,Series A+,2021,Wellness wearables - YC alum femtech hardware
[PLACEHOLDER],Francois,Baldassari,CEO & Co-Founder,Memfault,memfault.com,25-50,IoT,linkedin.com/in/baldassari,2,Series B $24M,2023,IoT platform - enables hardware development
[PLACEHOLDER],John,Martin,CEO & Co-Founder,Level Home,level.co,50-100,Smart Home,linkedin.com/in/johnmartinlevel,2,Series C,2022,Smart lock hardware - invisible design differentiator
[PLACEHOLDER],Matteo,Franceschetti,CEO & Co-Founder,Eight Sleep,eightsleep.com,50-100,Smart Home,linkedin.com/in/matteofranceschetti,2,Series C $86M,2022,Smart mattress - hardware + sleep tech
[PLACEHOLDER],Arch,Rao,CEO & Founder,Span.IO,span.io,50-100,Smart Home,linkedin.com/in/archrao,3,Series B $90M+,2024,Smart electrical panel - clean energy hardware
[PLACEHOLDER],Aaron,Emigh,CEO & Co-Founder,Brilliant Home,brilliant.tech,50-100,Smart Home,linkedin.com/in/aaronemigh,2,Series B $50M+,2022,Smart home control panels - hardware innovation
[PLACEHOLDER],Gimmy,Chu,CEO & Co-Founder,Nanoleaf,nanoleaf.me,50-100,Smart Home,linkedin.com/in/gimmychu,2,Series B,2021,Smart lighting panels - design-focused hardware
[PLACEHOLDER],Santosh,Yellapu,CEO & Founder,IoTFlows,iotflows.com,10-25,IoT,linkedin.com/in/yellapu,3,YC W24,2024,Manufacturing IoT sensors - recent YC very high intent
[PLACEHOLDER],Matt,Shumer,CEO & Founder,Ember (Observability),ember.engineering,10-25,IoT,linkedin.com/in/mattshumer,3,YC W24,2024,Robot/IoT observability tools - recent YC
[PLACEHOLDER],Tyler,Mincey,CEO & Co-Founder,Instacrops,instacrops.com,10-25,IoT,linkedin.com/in/tylermincey,2,YC,2023,IoT sensors for agriculture - hardware + analytics
[PLACEHOLDER],Clay,Alexander,CEO & Founder,Ember Technologies,ember.com,50-100,Consumer Electronics,linkedin.com/in/clayalexander,2,Series C $23.5M,2021,Smart drinkware - consumer hardware design
[PLACEHOLDER],Moawia,Eldeeb,CEO & Co-Founder,Tempo,tempo.fit,50-100,Fitness Equipment,linkedin.com/in/moawiaeldeeb,2,Series C,2022,Connected fitness hardware - AI + equipment
[PLACEHOLDER],Raghav,Gupta,CEO & Co-Founder,Posha (Nymble),posha.com,25-50,Kitchen Appliances,linkedin.com/in/raghavguptaposha,3,Series A $8M,2024,Kitchen robot - recent funding hardware innovation
